Model,Score,Rank_after
gemini-1.5-flash-exp-0827,1284.5727423559424,1
gpt-4o-mini-2024-07-18,1269.2576881915302,2
deepseek-v2-api-0628,1252.5738098043305,3
gemini-1.5-pro-exp-0827,1250.286218098787,4
deepseek-coder-v2-0724,1247.4197700399677,5
gemini-1.5-flash-api-0514,1243.1459759242396,6
athene-70b-0725,1241.3209276770974,7
llama-3.1-70b-instruct,1235.7515987167337,8
llama-3.1-405b-instruct,1233.3374912266975,9
deepseek-coder-v2,1227.06078964282,10
gpt-4o-2024-05-13,1223.2308306871341,11
claude-3-5-sonnet-20240620,1223.1135496397776,12
gemini-1.5-pro-api-0514,1220.6934351596103,13
gpt-4o-2024-08-06,1213.763050193249,14
mistral-large-2407,1211.6413882818429,15
glm-4-0520,1204.708219067291,16
llama-3.1-8b-instruct,1201.2334560162924,17
yi-large-preview,1198.5925379630214,18
gemini-1.5-flash-8b-exp-0827,1197.5379361030998,19
gemma-2-27b-it,1194.2952466612765,20
llama-3-70b-instruct,1193.4377105392277,21
reka-flash-20240722,1190.1234867579599,22
gemma-2-9b-it,1183.1739243775803,23
gpt-4-turbo-2024-04-09,1182.1054645400197,24
qwen2-72b-instruct,1180.1717168725008,25
reka-core-20240501,1176.5924745946045,26
gpt-4-1106-preview,1175.8287844292079,27
claude-3-haiku-20240307,1175.3280995522168,28
jamba-1.5-large,1174.079224724204,29
gpt-4-0125-preview,1173.2587783176284,30
llama-3-8b-instruct,1172.8883723534184,31
nemotron-4-340b-instruct,1169.8999633582966,32
jamba-1.5-mini,1169.088208082553,33
yi-large,1168.1048930713828,34
claude-3-opus-20240229,1164.7376951485644,35
reka-flash-preview-20240611,1160.8528438074363,36
reka-flash-21b-20240226-online,1157.7161265591692,37
reka-core-20240722,1154.7850410805452,38
reka-flash-21b-20240226,1148.6206090667022,39
yi-1.5-34b-chat,1147.7739013818725,40
claude-3-sonnet-20240229,1146.3282945544734,41
phi-3-medium-4k-instruct,1144.7810032784348,42
qwen1.5-110b-chat,1143.1898487807607,43
qwen1.5-72b-chat,1138.9304766767502,44
starling-lm-7b-beta,1138.4219308430659,45
qwen1.5-14b-chat,1132.3052978041858,46
gemma-2-2b-it,1131.883248701863,47
qwen1.5-32b-chat,1131.0641359731064,48
phi-3-small-8k-instruct,1130.8880908237563,49
phi-3-mini-4k-instruct-june-2024,1130.5117324604487,50
mistral-large-2402,1129.1078956117742,51
gpt-4-0314,1122.1885041682058,52
command-r-plus,1116.0788007237354,53
gpt-3.5-turbo-0314,1115.5656407656738,54
mixtral-8x7b-instruct-v0.1,1114.0,55
command-r,1113.3928196382672,56
openchat-3.5-0106,1113.2658077598749,57
phi-3-mini-4k-instruct,1111.3525644297818,58
mixtral-8x22b-instruct-v0.1,1111.1251706820258,59
gpt-3.5-turbo-0125,1110.1695251312685,60
gemini-pro-dev-api,1108.982899768449,61
gemma-1.1-7b-it,1108.8827050036298,62
dbrx-instruct-preview,1108.6743326014814,63
zephyr-orpo-141b-A35b-v0.1,1105.179654319298,64
gpt-3.5-turbo-0613,1104.856731855283,65
starling-lm-7b-alpha,1099.9768102279218,66
openchat-3.5,1099.821251684574,67
openhermes-2.5-mistral-7b,1097.2912337582757,68
claude-instant-1,1096.585799152796,69
yi-34b-chat,1095.7526295018156,70
gpt-4-0613,1094.1063453899988,71
tulu-2-dpo-70b,1091.7105681081148,72
qwen1.5-7b-chat,1089.29162906293,73
mistral-7b-instruct-v0.2,1088.215874991799,74
gpt-3.5-turbo-1106,1087.8108895649984,75
gemma-7b-it,1076.0789002420693,76
solar-10.7b-instruct-v1.0,1074.4328976408055,77
phi-3-mini-128k-instruct,1073.4875668367617,78
claude-2.0,1072.9526292890744,79
wizardlm-70b,1068.807831820387,80
claude-2.1,1066.9065340495818,81
deepseek-llm-67b-chat,1065.1363290041988,82
vicuna-33b,1064.0589474483834,83
llama-2-70b-chat,1063.591974456753,84
llama-2-13b-chat,1063.4155904715108,85
dolphin-2.2.1-mistral-7b,1062.3681445156124,86
mpt-30b-chat,1057.9621028593767,87
gemma-1.1-2b-it,1057.8719220185476,88
zephyr-7b-beta,1052.8873077675676,89
vicuna-13b,1052.050259603389,90
snowflake-arctic-instruct,1048.520099338372,91
llama-2-7b-chat,1047.5720050427203,92
pplx-7b-online,1046.0810723121403,93
nous-hermes-2-mixtral-8x7b-dpo,1045.2490505879025,94
qwen-14b-chat,1044.7573642706352,95
zephyr-7b-alpha,1041.8962893793623,96
wizardlm-13b,1036.9826073253278,97
gemma-2b-it,1035.2612429188298,98
mistral-7b-instruct,1028.7851284393332,99
vicuna-7b,1028.6152242655164,100
stripedhyena-nous-7b,1028.4854306806915,101
codellama-70b-instruct,1027.5946387996605,102
llama2-70b-steerlm-chat,1024.2946828467195,103
codellama-34b-instruct,1022.3056773506912,104
pplx-70b-online,1018.5894623668905,105
qwen1.5-4b-chat,1017.7846607350882,106
olmo-7b-instruct,1013.4169255470981,107
guanaco-33b,1009.9892334247565,108
gpt4all-13b-snoozy,993.2995636692651,109
chatglm3-6b,979.5969716959261,110
falcon-180b-chat,967.6165340706336,111
koala-13b,959.6195768064728,112
mpt-7b-chat,950.9802482419934,113
chatglm-6b,935.696406695838,114
RWKV-4-Raven-14B,934.6337655010908,115
oasst-pythia-12b,926.6953629559468,116
chatglm2-6b,917.3606763651719,117
alpaca-13b,888.4402532383622,118
fastchat-t5-3b,877.2864399701343,119
stablelm-tuned-alpha-7b,875.6483569368875,120
dolly-v2-12b,855.1566587368561,121
llama-13b,800.4206241303564,122
