Model,Score,Rank_after
chatgpt-4o-latest,1316.4493393174596,1
gemini-1.5-pro-exp-0827,1292.8421948560876,2
claude-3-5-sonnet-20240620,1290.4968368272473,3
gpt-4o-2024-05-13,1285.8181968337574,4
gpt-4o-mini-2024-07-18,1282.7965105076219,5
llama-3.1-405b-instruct,1279.8497860614254,6
mistral-large-2407,1272.0226257419984,7
deepseek-coder-v2-0724,1270.6768626663302,8
gpt-4o-2024-08-06,1267.3082252736972,9
gemini-1.5-pro-api-0514,1260.7245993868457,10
gemini-1.5-flash-exp-0827,1255.2663504424438,11
llama-3.1-70b-instruct,1254.5961665479338,12
athene-70b-0725,1250.7205224682616,13
gpt-4-turbo-2024-04-09,1248.4324124890468,14
yi-large-preview,1245.2059811530821,15
deepseek-coder-v2,1240.8798338157844,16
deepseek-v2-api-0628,1240.2203014046197,17
gpt-4-1106-preview,1238.6311018866356,18
gemini-1.5-flash-api-0514,1231.7651670806626,19
gpt-4-0125-preview,1229.8767933812808,20
yi-large,1220.1257678119803,21
claude-3-opus-20240229,1217.5055340340778,22
jamba-1.5-large,1215.388807261215,23
glm-4-0520,1214.3033774981052,24
claude-3-sonnet-20240229,1208.7762431418123,25
gemma-2-27b-it,1208.3091740481534,26
llama-3-70b-instruct,1199.8572177595092,27
reka-core-20240722,1199.6560966907382,28
nemotron-4-340b-instruct,1198.1219482716806,29
reka-core-20240501,1190.108884686526,30
claude-3-haiku-20240307,1188.891676338163,31
reka-flash-20240722,1188.1633601243311,32
qwen2-72b-instruct,1188.0939638633486,33
gemini-1.5-flash-8b-exp-0827,1181.177702836465,34
llama-3.1-8b-instruct,1179.8319932101047,35
gpt-4-0314,1177.4939794467423,36
qwen1.5-110b-chat,1174.2545734616108,37
jamba-1.5-mini,1170.6095929470748,38
mistral-large-2402,1165.8247292339747,39
gemma-2-9b-it,1164.7648458397412,40
yi-1.5-34b-chat,1160.3553089129434,41
qwen1.5-72b-chat,1158.6448028927425,42
command-r-plus,1157.978970724717,43
reka-flash-preview-20240611,1155.3008936013423,44
gpt-4-0613,1150.8329706961588,45
qwen1.5-32b-chat,1150.8215526978306,46
mixtral-8x22b-instruct-v0.1,1150.4785390078223,47
reka-flash-21b-20240226-online,1145.6978659493088,48
llama-3-8b-instruct,1145.0629991593848,49
reka-flash-21b-20240226,1138.8536451402194,50
gpt-3.5-turbo-0613,1133.2331736482204,51
starling-lm-7b-beta,1128.6957941176297,52
claude-2.0,1128.4948276115476,53
gpt-3.5-turbo-0314,1124.9085496032674,54
zephyr-orpo-141b-A35b-v0.1,1124.428718001853,55
phi-3-medium-4k-instruct,1124.3485097083776,56
claude-2.1,1124.2179228993632,57
qwen1.5-14b-chat,1124.0944438958804,58
gpt-3.5-turbo-0125,1122.6301881312156,59
command-r,1121.7676714991276,60
dbrx-instruct-preview,1117.152337346026,61
mixtral-8x7b-instruct-v0.1,1114.0,62
claude-instant-1,1110.1962839270213,63
phi-3-small-8k-instruct,1106.7035858418358,64
yi-34b-chat,1105.5981777129505,65
openchat-3.5-0106,1103.8983121509982,66
gemini-pro-dev-api,1102.6151050322487,67
gpt-3.5-turbo-1106,1099.7776526796151,68
tulu-2-dpo-70b,1092.7968611757296,69
qwen1.5-7b-chat,1089.9713187107177,70
deepseek-llm-67b-chat,1085.1316433989882,71
gemma-1.1-7b-it,1084.7020505698888,72
phi-3-mini-4k-instruct,1084.6337446674345,73
gemma-2-2b-it,1084.0933459974403,74
phi-3-mini-4k-instruct-june-2024,1083.6132296372793,75
starling-lm-7b-alpha,1078.9081820542879,76
nous-hermes-2-mixtral-8x7b-dpo,1075.7649602924826,77
snowflake-arctic-instruct,1075.3311500908212,78
mistral-7b-instruct-v0.2,1074.582596653237,79
llama-2-70b-chat,1070.226561496776,80
wizardlm-70b,1069.3562640140922,81
vicuna-33b,1068.259302396241,82
openhermes-2.5-mistral-7b,1057.969055453749,83
openchat-3.5,1053.6498994502017,84
gemma-7b-it,1048.0654063177276,85
mpt-30b-chat,1046.3462885683848,86
llama-2-13b-chat,1046.0389113694848,87
qwen-14b-chat,1045.5211730100423,88
gemma-1.1-2b-it,1039.7982546462845,89
solar-10.7b-instruct-v1.0,1039.38145713453,90
vicuna-13b,1036.7125740315564,91
codellama-34b-instruct,1036.493895203756,92
wizardlm-13b,1030.81647661458,93
codellama-70b-instruct,1026.8138817031052,94
zephyr-7b-beta,1025.3810595166008,95
phi-3-mini-128k-instruct,1024.9909536868947,96
pplx-70b-online,1023.2734897714292,97
olmo-7b-instruct,1019.3121745416161,98
llama2-70b-steerlm-chat,1013.0278813238102,99
pplx-7b-online,1011.7297012910972,100
zephyr-7b-alpha,1011.6778848978494,101
gemma-2b-it,1003.9037662959565,102
mistral-7b-instruct,1003.3550965144494,103
falcon-180b-chat,1002.8838616447881,104
llama-2-7b-chat,1001.4708059156962,105
stripedhyena-nous-7b,1001.0467756864152,106
dolphin-2.2.1-mistral-7b,992.8148455631538,107
vicuna-7b,988.1739009998736,108
qwen1.5-4b-chat,985.1519939697303,109
guanaco-33b,963.3049740796298,110
koala-13b,951.2747456485677,111
gpt4all-13b-snoozy,942.5488493327663,112
chatglm3-6b,940.7994083315261,113
mpt-7b-chat,919.6327919384557,114
RWKV-4-Raven-14B,915.6481748992945,115
chatglm-6b,902.8325245265114,116
oasst-pythia-12b,890.4284320721597,117
stablelm-tuned-alpha-7b,876.8880377745173,118
chatglm2-6b,861.9786008428256,119
alpaca-13b,812.8412859053424,120
fastchat-t5-3b,776.4059430290692,121
dolly-v2-12b,759.9301942924179,122
llama-13b,696.8346748806974,123
