Model,Score,Rank_after
chatgpt-4o-latest,1305.483194019498,1
gemini-1.5-pro-exp-0827,1287.1407248612045,2
gpt-4o-2024-05-13,1277.2099923969306,3
claude-3-5-sonnet-20240620,1274.605403862664,4
llama-3.1-405b-instruct,1269.6385508941732,5
gpt-4o-mini-2024-07-18,1269.2247505963846,6
gemini-1.5-flash-exp-0827,1265.9220154376899,7
gpt-4o-2024-08-06,1260.2336526344275,8
gemini-1.5-pro-api-0514,1255.8825330666905,9
mistral-large-2407,1254.0892437408104,10
athene-70b-0725,1248.2217348237778,11
llama-3.1-70b-instruct,1241.7371508001906,12
gpt-4-turbo-2024-04-09,1239.485886408263,13
yi-large-preview,1238.44902913387,14
deepseek-coder-v2-0724,1235.369674846371,15
gpt-4-1106-preview,1233.167978653652,16
deepseek-v2-api-0628,1231.588991855245,17
gpt-4-0125-preview,1228.552622751205,18
gemini-1.5-flash-api-0514,1223.6219647802993,19
claude-3-opus-20240229,1214.0853216238825,20
glm-4-0520,1213.73428973501,21
deepseek-coder-v2,1212.6499470488163,22
yi-large,1207.0450048863424,23
jamba-1.5-large,1206.0257705432844,24
nemotron-4-340b-instruct,1201.4595483584324,25
gemma-2-27b-it,1199.9377737816646,26
llama-3-70b-instruct,1196.9083605210246,27
reka-core-20240722,1194.6963511772587,28
claude-3-sonnet-20240229,1193.59810639484,29
gemini-1.5-flash-8b-exp-0827,1192.6525363679375,30
qwen2-72b-instruct,1189.090987598872,31
reka-core-20240501,1187.0353169705793,32
claude-3-haiku-20240307,1178.110447016344,33
gpt-4-0314,1177.0729373491827,34
reka-flash-20240722,1176.3539330435294,35
llama-3.1-8b-instruct,1174.16802809205,36
qwen1.5-110b-chat,1168.3509895442003,37
gemma-2-9b-it,1168.3362211259207,38
jamba-1.5-mini,1163.9397409743592,39
command-r-plus,1162.626804459458,40
mistral-large-2402,1161.445176991242,41
yi-1.5-34b-chat,1158.9894367249635,42
gpt-4-0613,1151.6127547797555,43
mixtral-8x22b-instruct-v0.1,1147.8644893651604,44
qwen1.5-72b-chat,1145.9709675188988,45
reka-flash-preview-20240611,1145.5123363629289,46
reka-flash-21b-20240226-online,1142.0329734765953,47
qwen1.5-32b-chat,1136.6758892783623,48
llama-3-8b-instruct,1135.8299621340893,49
reka-flash-21b-20240226,1132.4612426099152,50
phi-3-medium-4k-instruct,1130.5869817416174,51
gpt-3.5-turbo-0314,1128.5996570407492,52
claude-2.0,1122.0231322626867,53
zephyr-orpo-141b-A35b-v0.1,1119.4996995072559,54
gpt-3.5-turbo-0613,1119.4350640885357,55
starling-lm-7b-beta,1119.0915054992138,56
command-r,1119.0255426055512,57
qwen1.5-14b-chat,1116.4181342006927,58
mixtral-8x7b-instruct-v0.1,1114.0,59
claude-2.1,1111.7654167590567,60
gpt-3.5-turbo-0125,1111.1183817757455,61
dbrx-instruct-preview,1108.6329684222023,62
claude-instant-1,1107.7339283425686,63
phi-3-small-8k-instruct,1106.9297175801166,64
gemini-pro-dev-api,1106.3988671461707,65
yi-34b-chat,1101.726560631723,66
gemma-2-2b-it,1101.3243992755297,67
tulu-2-dpo-70b,1099.5042111704092,68
phi-3-mini-4k-instruct-june-2024,1092.2964026243026,69
gpt-3.5-turbo-1106,1091.0234954357188,70
openchat-3.5-0106,1082.467482392134,71
phi-3-mini-4k-instruct,1079.0655028717115,72
gemma-1.1-7b-it,1078.0522559861897,73
wizardlm-70b,1075.7864942279184,74
starling-lm-7b-alpha,1073.5173888691365,75
openhermes-2.5-mistral-7b,1072.675645726611,76
snowflake-arctic-instruct,1071.047726195226,77
mistral-7b-instruct-v0.2,1068.9834977552646,78
llama-2-70b-chat,1068.7820306656201,79
deepseek-llm-67b-chat,1067.9515834270564,80
qwen1.5-7b-chat,1066.4119145275988,81
vicuna-33b,1066.2048304239702,82
openchat-3.5,1065.231404536426,83
mpt-30b-chat,1057.7346097749992,84
solar-10.7b-instruct-v1.0,1055.4967150357927,85
nous-hermes-2-mixtral-8x7b-dpo,1052.9274866023882,86
llama-2-13b-chat,1049.8364279252085,87
llama2-70b-steerlm-chat,1048.9946814114999,88
gemma-7b-it,1046.162101061944,89
dolphin-2.2.1-mistral-7b,1036.9531996106916,90
codellama-70b-instruct,1036.2003070764972,91
phi-3-mini-128k-instruct,1034.1611066370876,92
vicuna-13b,1029.330334372986,93
zephyr-7b-beta,1028.0628592134512,94
qwen-14b-chat,1026.4865174405347,95
pplx-70b-online,1025.5603323004655,96
codellama-34b-instruct,1024.8808345142725,97
wizardlm-13b,1016.892518636791,98
gemma-1.1-2b-it,1013.8927894386641,99
pplx-7b-online,1013.6558161884232,100
zephyr-7b-alpha,1011.8435744089109,101
guanaco-33b,1011.2427365916184,102
llama-2-7b-chat,1008.3543669168017,103
mistral-7b-instruct,1002.545115963336,104
stripedhyena-nous-7b,1000.7020867161692,105
vicuna-7b,994.919740018633,106
olmo-7b-instruct,990.0017136601167,107
gemma-2b-it,985.5844023868323,108
falcon-180b-chat,984.4925762710998,109
qwen1.5-4b-chat,979.0500045666661,110
chatglm3-6b,955.2629967154797,111
gpt4all-13b-snoozy,950.9719280959747,112
koala-13b,939.5716573812235,113
mpt-7b-chat,908.0615955371118,114
chatglm-6b,906.8311408078907,115
RWKV-4-Raven-14B,905.4273857987638,116
chatglm2-6b,898.0405923000644,117
oasst-pythia-12b,891.1116734859675,118
stablelm-tuned-alpha-7b,839.7294751788763,119
alpaca-13b,832.2918170245939,120
fastchat-t5-3b,821.5238962644509,121
dolly-v2-12b,804.962785821032,122
llama-13b,734.824957995821,123
