Model,Score,Rank_after
claude-3-5-sonnet-20240620,1275.0186093593122,1
gemini-1.5-pro-exp-0827,1269.6643067016466,2
chatgpt-4o-latest,1266.515877449603,3
gpt-4o-2024-05-13,1255.3347160057665,4
gpt-4o-2024-08-06,1250.7917747853512,5
gemini-1.5-flash-exp-0827,1247.8482498340875,6
llama-3.1-405b-instruct,1241.5072560059857,7
gpt-4-1106-preview,1239.7128383590816,8
gpt-4-turbo-2024-04-09,1236.723238384347,9
gemini-1.5-pro-api-0514,1236.359267902169,10
gpt-4-0125-preview,1233.31268756289,11
mistral-large-2407,1231.378502351477,12
claude-3-opus-20240229,1227.533994851862,13
gpt-4o-mini-2024-07-18,1222.5644441424515,14
yi-large-preview,1219.5250281387966,15
deepseek-v2-api-0628,1217.4387529455366,16
llama-3.1-70b-instruct,1216.0390845665452,17
deepseek-coder-v2,1213.4430705689265,18
deepseek-coder-v2-0724,1206.305679371103,19
qwen2-72b-instruct,1203.171770189268,20
gemini-1.5-flash-api-0514,1199.08357200008,21
athene-70b-0725,1197.5460453340434,22
yi-large,1195.7000750755537,23
glm-4-0520,1190.138868965991,24
llama-3-70b-instruct,1189.8512601843065,25
gpt-4-0314,1188.1930918202638,26
nemotron-4-340b-instruct,1186.0985263662676,27
gemma-2-27b-it,1184.3564506006421,28
claude-3-sonnet-20240229,1180.696505096133,29
reka-core-20240722,1176.4052386374312,30
gpt-4-0613,1173.6774681977572,31
jamba-1.5-large,1170.3740980981233,32
gemini-1.5-flash-8b-exp-0827,1165.6563611538131,33
mistral-large-2402,1164.0706724732172,34
reka-core-20240501,1161.9492341501605,35
claude-3-haiku-20240307,1159.0162904060298,36
reka-flash-20240722,1156.319087320108,37
mixtral-8x22b-instruct-v0.1,1155.9766468494076,38
qwen1.5-110b-chat,1150.9532704420108,39
yi-1.5-34b-chat,1150.3436416413642,40
gpt-3.5-turbo-0314,1150.0722702125524,41
gemma-2-9b-it,1148.0571296559135,42
phi-3-medium-4k-instruct,1142.7459025332726,43
reka-flash-21b-20240226-online,1142.1808625107276,44
command-r-plus,1136.498932946971,45
llama-3.1-8b-instruct,1134.5770168384815,46
claude-2.0,1130.2548104118812,47
qwen1.5-72b-chat,1128.0775477150503,48
reka-flash-preview-20240611,1127.6845446327804,49
qwen1.5-32b-chat,1127.4504836653366,50
reka-flash-21b-20240226,1125.6101446244813,51
phi-3-mini-4k-instruct-june-2024,1122.7516991669931,52
jamba-1.5-mini,1122.565027780986,53
zephyr-orpo-141b-A35b-v0.1,1121.7435294417228,54
phi-3-small-8k-instruct,1120.553881003152,55
claude-2.1,1120.3522840586402,56
