Model,Score,Rank_after
chatgpt-4o-latest,1305.6135185076757,1
gemini-1.5-pro-exp-0827,1298.095893919827,2
gpt-4o-2024-05-13,1276.5956933993473,3
gpt-4o-mini-2024-07-18,1274.2212264284008,4
gemini-1.5-flash-exp-0827,1270.2343385789038,5
llama-3.1-405b-instruct,1265.7813114193216,6
claude-3-5-sonnet-20240620,1264.0490039979459,7
gemini-1.5-pro-api-0514,1258.1868553441925,8
gpt-4o-2024-08-06,1255.7921651759107,9
llama-3.1-70b-instruct,1250.4342015034172,10
athene-70b-0725,1249.7153838158536,11
mistral-large-2407,1247.386319317479,12
gpt-4-turbo-2024-04-09,1240.691323399819,13
yi-large-preview,1240.2873377333788,14
gpt-4-1106-preview,1234.9839287690088,15
gpt-4-0125-preview,1229.1722549746207,16
gemini-1.5-flash-api-0514,1229.057349781875,17
reka-core-20240722,1226.4784812018404,18
deepseek-v2-api-0628,1221.8412662968763,19
gemma-2-27b-it,1219.8423731144171,20
deepseek-coder-v2-0724,1217.5071920903215,21
yi-large,1213.4252383922114,22
jamba-1.5-large,1211.4203423234092,23
claude-3-opus-20240229,1209.687482457679,24
nemotron-4-340b-instruct,1209.233977449607,25
glm-4-0520,1208.4410488580033,26
llama-3-70b-instruct,1206.792164435225,27
gemini-1.5-flash-8b-exp-0827,1201.9436461615705,28
reka-core-20240501,1201.1318964177142,29
reka-flash-20240722,1200.5882114629708,30
claude-3-sonnet-20240229,1195.3152115336025,31
gemma-2-9b-it,1189.2729031309946,32
qwen2-72b-instruct,1189.1601473668532,33
command-r-plus,1182.0272895412295,34
deepseek-coder-v2,1180.7795159426364,35
claude-3-haiku-20240307,1179.8736559946653,36
jamba-1.5-mini,1173.7631315453943,37
llama-3.1-8b-instruct,1169.9590675861443,38
reka-flash-preview-20240611,1167.435545032038,39
gpt-4-0314,1164.0801640300624,40
qwen1.5-110b-chat,1161.59191027218,41
yi-1.5-34b-chat,1157.1289749187235,42
reka-flash-21b-20240226-online,1157.0526385807361,43
mistral-large-2402,1154.0340069481983,44
llama-3-8b-instruct,1152.1165544176818,45
command-r,1148.7539808397862,46
reka-flash-21b-20240226,1148.087235539255,47
qwen1.5-72b-chat,1147.3938725682601,48
mixtral-8x22b-instruct-v0.1,1145.6824723206887,49
gpt-4-0613,1144.168671410144,50
gemini-pro-dev-api,1134.2531680843877,51
gemma-2-2b-it,1132.000081555564,52
zephyr-orpo-141b-A35b-v0.1,1129.9904363373612,53
qwen1.5-32b-chat,1126.210265351714,54
claude-2.0,1125.8720667497455,55
phi-3-medium-4k-instruct,1125.125504040152,56
starling-lm-7b-beta,1119.8342694443393,57
gpt-3.5-turbo-0613,1115.636142276394,58
mixtral-8x7b-instruct-v0.1,1114.0,59
yi-34b-chat,1111.055620703255,60
claude-instant-1,1109.150128760417,61
claude-2.1,1108.9666677060068,62
qwen1.5-14b-chat,1108.8588997767824,63
gpt-3.5-turbo-0314,1107.4899827783424,64
gpt-3.5-turbo-0125,1105.6867992346283,65
wizardlm-70b,1104.6258137559448,66
dbrx-instruct-preview,1102.6030808014823,67
phi-3-small-8k-instruct,1102.5303221104084,68
tulu-2-dpo-70b,1099.528076020185,69
llama-2-70b-chat,1092.0764747116693,70
openchat-3.5-0106,1091.7020966211714,71
vicuna-33b,1090.2552703458841,72
starling-lm-7b-alpha,1088.3380780731313,73
snowflake-arctic-instruct,1088.1900337130662,74
nous-hermes-2-mixtral-8x7b-dpo,1084.7616128815262,75
gemma-1.1-7b-it,1084.59882020537,76
deepseek-llm-67b-chat,1082.77489025684,77
llama2-70b-steerlm-chat,1076.8596406908255,78
pplx-70b-online,1076.4419623926788,79
openchat-3.5,1076.1959275868178,80
openhermes-2.5-mistral-7b,1075.750305070173,81
mistral-7b-instruct-v0.2,1072.1435831328592,82
phi-3-mini-4k-instruct-june-2024,1071.99650730041,83
qwen1.5-7b-chat,1070.7418531715762,84
gpt-3.5-turbo-1106,1068.960409399232,85
phi-3-mini-4k-instruct,1067.5044536345126,86
llama-2-13b-chat,1061.9651868255348,87
wizardlm-13b,1059.4321354629149,88
solar-10.7b-instruct-v1.0,1059.1857128361266,89
zephyr-7b-beta,1052.53695851515,90
dolphin-2.2.1-mistral-7b,1049.7615025846214,91
mpt-30b-chat,1046.5045541961167,92
pplx-7b-online,1043.8927781543398,93
vicuna-13b,1042.9218071143005,94
codellama-34b-instruct,1040.2806889623675,95
gemma-7b-it,1037.345347589228,96
phi-3-mini-128k-instruct,1035.7367486293733,97
llama-2-7b-chat,1034.588561486733,98
guanaco-33b,1033.2083645075452,99
zephyr-7b-alpha,1032.663085167639,100
qwen-14b-chat,1032.6427555475993,101
codellama-70b-instruct,1030.1993366192498,102
falcon-180b-chat,1027.0143393361168,103
gemma-1.1-2b-it,1021.3532362021748,104
stripedhyena-nous-7b,1019.921372118384,105
olmo-7b-instruct,1013.2382781958052,106
mistral-7b-instruct,1007.0322448547496,107
vicuna-7b,1006.8473065698076,108
gemma-2b-it,993.5767951567123,109
qwen1.5-4b-chat,985.9878071344767,110
koala-13b,966.7510140776526,111
chatglm3-6b,954.0744638482795,112
gpt4all-13b-snoozy,941.7761549418824,113
mpt-7b-chat,929.5211917245781,114
RWKV-4-Raven-14B,924.0446586707751,115
chatglm2-6b,910.5359925690947,116
alpaca-13b,904.0838041520392,117
oasst-pythia-12b,895.122813777231,118
chatglm-6b,881.1985714248121,119
fastchat-t5-3b,870.8389623056846,120
stablelm-tuned-alpha-7b,842.9417582090198,121
dolly-v2-12b,825.7634340826169,122
llama-13b,804.67033676985,123
