Model,Score,Rank_after
chatgpt-4o-latest,1287.00107359982,1
gemini-1.5-pro-exp-0827,1266.657889581026,2
gpt-4o-2024-05-13,1258.00297511211,3
claude-3-5-sonnet-20240620,1256.1369323994131,4
llama-3.1-405b-instruct,1251.1454084136346,5
gpt-4o-2024-08-06,1242.418642592978,6
gemini-1.5-pro-api-0514,1235.7211065989472,7
gemini-1.5-flash-exp-0827,1235.0118603458936,8
gpt-4-turbo-2024-04-09,1233.4580164767026,9
gpt-4o-mini-2024-07-18,1232.0234280720285,10
gpt-4-1106-preview,1226.9141897875259,11
mistral-large-2407,1225.8720705554445,12
gpt-4-0125-preview,1222.5392258414822,13
claude-3-opus-20240229,1220.0554271910783,14
athene-70b-0725,1217.1250056371555,15
llama-3.1-70b-instruct,1210.363272910505,16
yi-large-preview,1204.5822829463095,17
gemma-2-27b-it,1202.3744640277669,18
deepseek-v2-api-0628,1200.4678245494188,19
gemini-1.5-flash-api-0514,1200.1520547394066,20
reka-core-20240722,1199.6237695242833,21
deepseek-coder-v2-0724,1197.928721760176,22
nemotron-4-340b-instruct,1196.5724861857375,23
jamba-1.5-large,1196.158030108743,24
claude-3-sonnet-20240229,1194.4016746755308,25
yi-large,1193.728303379274,26
llama-3-70b-instruct,1192.7560692962982,27
gpt-4-0314,1189.9770543879656,28
glm-4-0520,1188.294430813112,29
qwen2-72b-instruct,1181.9326940693188,30
deepseek-coder-v2,1181.3199117665497,31
command-r-plus,1179.3136145045464,32
reka-flash-20240722,1177.9848418177428,33
gpt-4-0613,1177.8021946860938,34
claude-3-haiku-20240307,1176.488740659985,35
reka-core-20240501,1175.9129770057857,36
gemma-2-9b-it,1172.7759201166864,37
gemini-1.5-flash-8b-exp-0827,1163.882069299903,38
jamba-1.5-mini,1158.0841647970392,39
mistral-large-2402,1155.9274125715278,40
qwen1.5-110b-chat,1155.202032766019,41
reka-flash-preview-20240611,1151.612337834413,42
reka-flash-21b-20240226-online,1151.4028766617,43
mixtral-8x22b-instruct-v0.1,1149.2676453691702,44
command-r,1148.3508028550737,45
gemini-pro-dev-api,1148.1321034641217,46
qwen1.5-72b-chat,1147.5655100150777,47
claude-2.0,1144.7425413882147,48
reka-flash-21b-20240226,1141.8385274380091,49
gpt-3.5-turbo-0314,1140.9489870157252,50
llama-3-8b-instruct,1140.1222143379914,51
gpt-3.5-turbo-0125,1137.9981097986918,52
gpt-3.5-turbo-0613,1136.9410790782529,53
zephyr-orpo-141b-A35b-v0.1,1133.376993705591,54
yi-1.5-34b-chat,1132.0963293797963,55
claude-2.1,1129.143605917895,56
qwen1.5-32b-chat,1127.8459430667008,57
claude-instant-1,1125.888975672312,58
phi-3-medium-4k-instruct,1119.852871567794,59
llama-3.1-8b-instruct,1117.6697679679232,60
mixtral-8x7b-instruct-v0.1,1114.0,61
dbrx-instruct-preview,1113.5964887042967,62
gpt-3.5-turbo-1106,1111.9162195857566,63
qwen1.5-14b-chat,1105.797048080237,64
wizardlm-70b,1104.3867822282054,65
gemma-2-2b-it,1103.7480075207209,66
snowflake-arctic-instruct,1102.3367204211188,67
openchat-3.5-0106,1100.2563777454277,68
yi-34b-chat,1099.2601983029895,69
phi-3-small-8k-instruct,1098.1508663912582,70
openchat-3.5,1095.6299207130987,71
gemma-1.1-7b-it,1095.5700147654795,72
deepseek-llm-67b-chat,1094.8723246504712,73
vicuna-33b,1091.8909389740345,74
tulu-2-dpo-70b,1091.502080264062,75
starling-lm-7b-beta,1090.4789067899765,76
openhermes-2.5-mistral-7b,1087.7750621846508,77
starling-lm-7b-alpha,1082.070730695004,78
llama-2-70b-chat,1080.5335823723472,79
pplx-70b-online,1072.5452206094496,80
nous-hermes-2-mixtral-8x7b-dpo,1069.2512859496856,81
llama2-70b-steerlm-chat,1069.0346762605009,82
mistral-7b-instruct-v0.2,1066.8001356334435,83
mpt-30b-chat,1065.7283303131273,84
phi-3-mini-4k-instruct-june-2024,1065.5971674877128,85
wizardlm-13b,1065.0433784654122,86
qwen1.5-7b-chat,1064.880883402424,87
solar-10.7b-instruct-v1.0,1061.5193938041557,88
vicuna-13b,1060.9705627696787,89
falcon-180b-chat,1058.9231773780818,90
dolphin-2.2.1-mistral-7b,1056.9780327849876,91
phi-3-mini-4k-instruct,1055.527610786079,92
qwen-14b-chat,1052.4215081223906,93
llama-2-13b-chat,1051.9425547017336,94
zephyr-7b-beta,1048.4102404220769,95
guanaco-33b,1047.400533684006,96
phi-3-mini-128k-instruct,1046.8939519053024,97
codellama-34b-instruct,1044.5641461798184,98
gemma-7b-it,1043.9705917709373,99
zephyr-7b-alpha,1039.6609842595649,100
pplx-7b-online,1038.684136782669,101
stripedhyena-nous-7b,1034.8164056785358,102
gemma-1.1-2b-it,1031.9594721115184,103
codellama-70b-instruct,1024.792691639897,104
mistral-7b-instruct,1024.5677078322933,105
vicuna-7b,1024.2491783642135,106
llama-2-7b-chat,1022.5189294433483,107
qwen1.5-4b-chat,1014.147164454245,108
gemma-2b-it,1010.1211208983518,109
olmo-7b-instruct,993.9464680159547,110
gpt4all-13b-snoozy,991.6648732056287,111
koala-13b,983.2471939754317,112
alpaca-13b,973.8993752020632,113
mpt-7b-chat,971.0626741200045,114
chatglm3-6b,970.8504289398205,115
RWKV-4-Raven-14B,954.7299498490855,116
oasst-pythia-12b,936.3362918547548,117
chatglm2-6b,925.6720491121561,118
fastchat-t5-3b,902.5259549051455,119
chatglm-6b,894.4910198073951,120
dolly-v2-12b,889.6905402942713,121
llama-13b,880.2544875236838,122
stablelm-tuned-alpha-7b,864.9172117088495,123
