index,Model,Score
1,o1-preview,1333.083281082021
2,o1-mini,1305.5185520700459
3,gemini-1.5-pro-exp-0827,1298.768793112552
4,gpt-4o-2024-05-13,1286.666492463991
5,athene-v2-chat,1278.2932067899687
6,gpt-4o-mini-2024-07-18,1273.1203429673976
7,gemini-1.5-flash-exp-0827,1271.2984383832131
8,claude-3-5-sonnet-20240620,1268.5385196156174
9,gpt-4o-2024-08-06,1264.1350144894952
10,qwen2.5-72b-instruct,1259.51053148251
11,gpt-4-turbo-2024-04-09,1257.8335675458695
12,deepseek-v2.5,1253.9780649125594
13,mistral-large-2407,1252.3809521968685
14,gpt-4-1106-preview,1251.1956363123886
15,athene-70b-0725,1250.3720154460589
16,claude-3-opus-20240229,1248.7632593555932
17,llama-3.1-70b-instruct,1248.254467850738
18,gpt-4-0125-preview,1246.3028472861683
19,yi-large-preview,1242.771787366843
20,reka-core-20240722,1230.7386233900804
21,qwen-plus-0828,1228.0462755567576
22,deepseek-v2-api-0628,1221.2815656684277
23,jamba-1.5-large,1221.1226841856862
24,gemma-2-27b-it,1220.8439204613653
25,deepseek-coder-v2-0724,1216.6520626911154
26,command-r-plus-08-2024,1216.196260275049
27,gemma-2-9b-it-simpo,1214.553743580231
28,yi-large,1213.652013992681
29,nemotron-4-340b-instruct,1210.735313206202
30,llama-3-70b-instruct,1207.0375054971416
31,glm-4-0520,1206.8341253493597
32,gemini-1.5-flash-8b-exp-0827,1205.8209666120918
33,reka-flash-20240722,1202.2830528410436
34,claude-3-sonnet-20240229,1202.2281541079346
35,reka-core-20240501,1201.5147368447022
36,command-r-plus,1190.553585440746
37,gemma-2-9b-it,1190.0294804976088
38,qwen2-72b-instruct,1188.0131906458284
39,gpt-4-0314,1187.220729079852
40,command-r-08-2024,1184.9451766471764
41,claude-3-haiku-20240307,1179.9283636390744
42,deepseek-coder-v2,1179.8490456433262
43,jamba-1.5-mini,1175.3211331744028
44,llama-3.1-8b-instruct,1174.3910935133451
45,reka-flash-preview-20240611,1164.7303958880427
46,gpt-4-0613,1163.7540206789713
47,qwen1.5-110b-chat,1162.2297586091422
48,yi-1.5-34b-chat,1157.6473415988967
49,reka-flash-21b-20240226-online,1156.5443804171475
50,mistral-large-2402,1156.5191444222287
51,internlm2_5-20b-chat,1152.4223718605294
52,llama-3-8b-instruct,1151.5565590413291
53,command-r,1148.816089064764
54,mixtral-8x22b-instruct-v0.1,1148.076872622573
55,reka-flash-21b-20240226,1148.0126789356298
56,qwen1.5-72b-chat,1147.893839549181
57,gemma-2-2b-it,1135.4032556052534
58,claude-2.0,1135.0770656890122
59,gemini-pro-dev-api,1135.0055269115198
60,zephyr-orpo-141b-A35b-v0.1,1129.3956294229288
61,qwen1.5-32b-chat,1126.4182916000868
62,phi-3-medium-4k-instruct,1123.221987247741
63,starling-lm-7b-beta,1119.4722994052781
64,claude-2.1,1118.1809708275453
65,gpt-3.5-turbo-0613,1117.954295715364
66,mixtral-8x7b-instruct-v0.1,1114.0
67,yi-34b-chat,1112.097121099951
68,gpt-3.5-turbo-0314,1111.682246200158
69,claude-instant-1,1111.2618533027107
70,qwen1.5-14b-chat,1108.6147127374466
71,wizardlm-70b,1106.8419539834163
72,llama-3.2-3b-instruct,1106.0507928499346
73,gpt-3.5-turbo-0125,1105.3802858702736
74,dbrx-instruct-preview,1102.1015036243653
75,tulu-2-dpo-70b,1100.6656964189751
76,phi-3-small-8k-instruct,1100.4181007526327
77,llama-2-70b-chat,1093.2762812202932
78,vicuna-33b,1091.9791517879585
79,openchat-3.5-0106,1091.508163767418
80,starling-lm-7b-alpha,1089.5893487721498
81,snowflake-arctic-instruct,1089.2537452529941
82,nous-hermes-2-mixtral-8x7b-dpo,1085.6824520144362
83,deepseek-llm-67b-chat,1084.7856577637122
84,gemma-1.1-7b-it,1083.3254158740278
85,llama2-70b-steerlm-chat,1081.6410188668906
86,openchat-3.5,1078.6035098268287
87,pplx-70b-online,1078.4054142863472
88,openhermes-2.5-mistral-7b,1077.1794079667818
89,mistral-7b-instruct-v0.2,1072.5584604851379
90,gpt-3.5-turbo-1106,1070.9217474453199
91,qwen1.5-7b-chat,1069.2371868343716
92,phi-3-mini-4k-instruct-june-2024,1068.3064657546115
93,phi-3-mini-4k-instruct,1066.4051775457592
94,llama-3.2-1b-instruct,1064.2725745329062
95,llama-2-13b-chat,1063.3017512435945
96,dolphin-2.2.1-mistral-7b,1061.397316032439
97,wizardlm-13b,1060.509364980614
98,solar-10.7b-instruct-v1.0,1060.316208513892
99,zephyr-7b-beta,1054.8694648034148
100,mpt-30b-chat,1048.4716690886557
101,pplx-7b-online,1046.1256522375588
102,vicuna-13b,1044.2915307179296
103,zephyr-7b-alpha,1043.6923345355315
104,codellama-34b-instruct,1043.519421818541
105,codellama-70b-instruct,1039.631475549872
106,gemma-7b-it,1038.3034407880282
107,llama-2-7b-chat,1035.9670820066049
108,phi-3-mini-128k-instruct,1035.081932308036
109,qwen-14b-chat,1034.952869668643
110,falcon-180b-chat,1034.6634790225298
111,guanaco-33b,1034.092350922227
112,stripedhyena-nous-7b,1020.9694631244251
113,gemma-1.1-2b-it,1020.0389739451398
114,olmo-7b-instruct,1015.6655802484521
