2024-12-09 23:07:27 | INFO | gradio_web_server | All models: []
2024-12-09 23:07:27 | INFO | gradio_web_server | Visible models: []
2024-12-09 23:07:27 | INFO | gradio_web_server | All models: []
2024-12-09 23:07:27 | INFO | gradio_web_server | Visible models: []
2024-12-09 23:07:27 | ERROR | stderr | /home/ygtang/miniconda3/envs/topic_clustering/lib/python3.12/site-packages/gradio/components/dropdown.py:188: UserWarning: The value passed into gr.Dropdown() is not in the list of choices. Please update the list of choices to include:  or set allow_custom_value=True.
2024-12-09 23:07:27 | ERROR | stderr |   warnings.warn(
2024-12-09 23:07:28 | INFO | stdout | Running on local URL:  http://0.0.0.0:7870
2024-12-09 23:07:28 | INFO | stdout | Running on public URL: https://53cc9b85235e261818.gradio.live
2024-12-09 23:07:28 | INFO | stdout | 
2024-12-09 23:07:28 | INFO | stdout | This share link expires in 72 hours. For free permanent hosting and GPU upgrades, run `gradio deploy` from Terminal to deploy to Spaces (https://huggingface.co/spaces)
2024-12-09 23:07:34 | ERROR | stderr | /home/ygtang/miniconda3/envs/topic_clustering/lib/python3.12/site-packages/gradio/components/dropdown.py:188: UserWarning: The value passed into gr.Dropdown() is not in the list of choices. Please update the list of choices to include:  or set allow_custom_value=True.
2024-12-09 23:07:34 | ERROR | stderr |   warnings.warn(
2024-12-09 23:07:49 | INFO | stdout | Keyboard interruption in main thread... closing server.
2024-12-09 23:07:54 | INFO | stdout | Killing tunnel 0.0.0.0:7870 <> https://53cc9b85235e261818.gradio.live
2024-12-09 23:27:19 | INFO | gradio_web_server | All models: []
2024-12-09 23:27:19 | INFO | gradio_web_server | Visible models: []
2024-12-09 23:27:19 | INFO | gradio_web_server | All models: []
2024-12-09 23:27:19 | INFO | gradio_web_server | Visible models: []
2024-12-09 23:27:19 | ERROR | stderr | /home/ygtang/miniconda3/envs/topic_clustering/lib/python3.12/site-packages/gradio/components/dropdown.py:188: UserWarning: The value passed into gr.Dropdown() is not in the list of choices. Please update the list of choices to include:  or set allow_custom_value=True.
2024-12-09 23:27:19 | ERROR | stderr |   warnings.warn(
2024-12-09 23:27:19 | ERROR | stderr | Traceback (most recent call last):
