broad_category_id,broad_category,count,percentage
2,Content Creation,10218,19.469161442752892
0,Language Translation,6262,11.931482575310099
6,Programming Concepts,5310,10.117561877179277
4,Global Issues,4158,7.922565402130213
3,Technology & Data,4009,7.6386639483261245
8,Data Analysis,3381,6.44208600880285
5,AI Prompts,3152,6.005754244231466
12,Varied Interests,2971,5.660880666120458
1,Logic Puzzles,2915,5.554179448583351
13,Science & Mathematics,2289,4.36141226682926
7,Web Development,2166,4.127050664024541
14,Problem Solving,1942,3.700245793876112
10,Counting Problems,1496,2.8504468113484367
11,Pop Culture,1305,2.4865194443915173
9,Mathematical Comparisons,909,1.7319894060934018
