Topic,Category,Count,Percentage
0,Programming Skills,27,0.13989637305699482
1,Creative Writing,22,0.11398963730569948
2,Logic Puzzles,22,0.11398963730569948
3,Technical Concepts,26,0.13471502590673576
4,Entertainment Discussion,15,0.07772020725388601
5,Strategy & Management,16,0.08290155440414508
6,Science & Calculation,15,0.07772020725388601
7,Historical Discussion,9,0.046632124352331605
8,Interdisciplinary Studies,13,0.06735751295336788
9,Creative Generation,9,0.046632124352331605
10,General Knowledge,11,0.05699481865284974
11,Comparative Analysis,8,0.04145077720207254
