Topic,Category,Count,Percentage
0,Python Programming,52,0.18505338078291814
1,Logic Puzzles,24,0.08540925266903915
2,Creative Writing,24,0.08540925266903915
3,Social Issues,21,0.07473309608540925
4,Mathematics,24,0.08540925266903915
5,Regulations,19,0.06761565836298933
6,Letter Counting,11,0.03914590747330961
7,Language Learning,16,0.05693950177935943
8,Science Concepts,13,0.046263345195729534
9,AI Art,19,0.06761565836298933
10,Queries,10,0.03558718861209965
11,Math Problems,9,0.03202846975088968
12,Online Culture,7,0.02491103202846975
13,Puzzles,6,0.021352313167259787
14,Game Strategies,9,0.03202846975088968
-1,Miscellaneous,17,0.060498220640569395
