Topic,Category,Count,Percentage
0,Writing Prompts,84,0.3169811320754717
1,Logic Puzzles,27,0.1018867924528302
2,Language Skills,21,0.07924528301886792
3,Database Optimization,18,0.06792452830188679
4,Mathematical Problems,16,0.06037735849056604
5,Comparative Analysis,15,0.05660377358490566
6,Letter Counting,14,0.052830188679245285
7,Python Programming,13,0.04905660377358491
8,Web Development,12,0.045283018867924525
9,Community Issues,10,0.03773584905660377
10,Family Math,8,0.03018867924528302
11,Puzzles,7,0.026415094339622643
12,Healthcare,5,0.018867924528301886
13,Concepts,5,0.018867924528301886
14,Historical Analysis,5,0.018867924528301886
15,Ethical Issues,5,0.018867924528301886
