Miscellaneous,Machine Learning,Math Problems,Strategic Planning,Creative Writing,Philosophical Inquiry,Language Education,Strategies,Programming,Logic Puzzles,River Puzzles,Letter Counting,Global Issues,Healthcare Guidance
claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,chatgpt-4o-latest,gemini-1.5-pro-api-0514,claude-3-5-sonnet-20240620
gpt-4o-2024-05-13,gemini-1.5-pro-api-0514,gpt-4o-2024-05-13,llama-3.1-405b-instruct,gpt-4o-2024-05-13,gpt-4o-2024-05-13,gpt-4o-2024-05-13,llama-3-70b-instruct,gpt-4o-2024-05-13,gemini-1.5-pro-api-0514,chatgpt-4o-latest,gpt-4o-2024-08-06,llama-3-70b-instruct,llama-3-70b-instruct
gemini-1.5-pro-api-0514,gpt-4o-2024-05-13,gemini-1.5-pro-api-0514,gpt-4o-2024-05-13,gemini-1.5-pro-api-0514,llama-3-70b-instruct,gemini-1.5-pro-api-0514,gemma-2-9b-it,gemini-1.5-pro-api-0514,chatgpt-4o-latest,gpt-4o-2024-05-13,gpt-4o-2024-05-13,claude-3-opus-20240229,llama-3.1-405b-instruct
llama-3-70b-instruct,llama-3.1-405b-instruct,chatgpt-4o-latest,chatgpt-4o-latest,chatgpt-4o-latest,gpt-4o-mini-2024-07-18,gemini-1.5-pro-exp-0801,gpt-4o-2024-05-13,gpt-4o-mini-2024-07-18,gpt-4o-2024-05-13,gpt-4-turbo-2024-04-09,gemini-1.5-pro-api-0514,claude-3-5-sonnet-20240620,gemini-1.5-pro-exp-0801
gemini-1.5-pro-exp-0801,claude-3-opus-20240229,gemini-1.5-flash-api-0514,gemma-2-27b-it,gemma-2-27b-it,gemini-1.5-pro-api-0514,gpt-4-turbo-2024-04-09,gemini-1.5-pro-api-0514,llama-3.1-405b-instruct,llama-3.1-405b-instruct,gemini-1.5-flash-api-0514,gemini-1.5-pro-exp-0801,gemini-1.5-pro-exp-0801,gemini-1.5-pro-api-0514
chatgpt-4o-latest,gemini-1.5-pro-exp-0801,gemma-2-27b-it,gemini-1.5-pro-api-0514,llama-3-70b-instruct,gemini-1.5-pro-exp-0801,gemini-1.5-flash-api-0514,llama-3.1-405b-instruct,chatgpt-4o-latest,gpt-4o-2024-08-06,claude-3-opus-20240229,claude-3-5-sonnet-20240620,gemma-2-27b-it,deepseek-v2-api-0628
gemma-2-27b-it,llama-3-70b-instruct,gemini-1.5-pro-exp-0801,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,gemma-2-27b-it,chatgpt-4o-latest,gpt-4-0125-preview,llama-3-70b-instruct,llama-3-70b-instruct,llama-3.1-70b-instruct,llama-3.1-70b-instruct,gpt-4o-2024-05-13,gemma-2-9b-it
llama-3.1-405b-instruct,gemma-2-27b-it,llama-3.1-405b-instruct,gemini-1.5-flash-api-0514,gemini-1.5-pro-exp-0801,llama-3-8b-instruct,claude-3-opus-20240229,gemini-1.5-flash-api-0514,claude-3-opus-20240229,gemini-1.5-pro-exp-0801,command-r-plus,claude-3-opus-20240229,claude-3-haiku-20240307,gpt-4o-2024-05-13
claude-3-opus-20240229,chatgpt-4o-latest,gpt-4o-mini-2024-07-18,gpt-4-turbo-2024-04-09,llama-3.1-405b-instruct,claude-3-haiku-20240307,llama-3-70b-instruct,gpt-4o-mini-2024-07-18,gemini-1.5-pro-exp-0801,gemma-2-27b-it,gpt-4o-2024-08-06,gpt-4-0125-preview,llama-3.1-405b-instruct,claude-3-haiku-20240307
gpt-4o-mini-2024-07-18,gpt-4-turbo-2024-04-09,claude-3-opus-20240229,gpt-4o-2024-08-06,gemini-1.5-flash-api-0514,chatgpt-4o-latest,gemma-2-27b-it,mistral-large-2407,gemma-2-27b-it,gpt-4o-mini-2024-07-18,gemini-1.5-pro-exp-0801,llama-3.1-405b-instruct,qwen2-72b-instruct,deepseek-coder-v2
